gX,gY,gZ
0,0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",0,0
"
0",-2,20
"
53",-37,-25
"
-126",13,19
"
-232",-19,-24
"
-310",-15,1
"
-266",34,59
"
200",22,52
"
179",18,35
"
194",7,18
"
167",27,2
"
31",27,14
"
-2",-47,1
"
-4",29,14
"
-56",-24,-14
"
-149",-24,-13
"
-255",-4,-9
"
-256",-14,0
"
-88",-41,1
"
89",-6,11
"
111",19,29
"
157",21,-5
"
178",12,-23
"
119",5,-1
"
47",-13,-2
"
28",-8,4
"
15",-11,3
"
-10",26,8
"
-49",4,3
"
-137",1,3
"
-178",-5,-18
"
-214",10,-39
"
-134",-40,8
"
95",-7,8
"
117",19,10
"
130",1,10
"
116",-3,8
"
45",0,12
"
70",3,-9
"
57",0,-10
"
-13",9,1
"
-76",-24,-6
"
-177",-5,-5
"
-211",-10,-10
"
-110",-14,5
"
78",4,14
"
56",12,9
"
103",3,5
"
85",6,6
"
104",12,-9
"
102",13,-4
"
57",-122,-46
"
0",21,11
"
-120",6,4
"
-163",-3,3
"
-178",5,-4
"
-156",-6,6
"
-11",-15,15
"
80",0,8
"
95",11,3
"
121",3,-3
"
147",10,-1
"
112",-7,-3
"
89",0,0
"
60",-10,-1
"
0",19,3
"
-146",9,0
"
-234",-15,-2
"
-184",-5,6
"
-166",-18,4
"
57",-12,6
"
114",9,10
"
124",11,4
"
142",7,-5
"
139",5,-7
